X1,Y1,X2,Y2,X3,Y3
1,17.83,1,17.82517,1,15.02047
2,34.41,2,34.41336,2,31.60866
3,50.96,3,49.71841,3,46.29045
4,63.25,4,62.62207,4,56.3894
5,75.75,5,74.19675,5,67.34082
6,90.35,6,88.17346,6,81.31753
7,100.91,7,98.7308,7,90.93996
8,112.19,8,109.07741,8,101.28657
9,123.07,9,119.64397,9,111.22987
10,131.81,10,112.17241,10,120.27488
12,141.48,12,123.09645,12,131.19892
14,152.45,14,133.13143,14,140.61063
16,162.67,16,143.34975,16,150.82896
18,172.31,18,153.61392,18,160.46985
20,181.22,20,162.20978,20,170.00061
23,190.7,23,170.7598,23,179.48554
26,200.21,26,179.63992,26,191.17035
29,209.53,29,189.27159,29,201.11366
30,217.89,30,197.6338,30,193.8942
33,226.22,33,206.89877,33,202.5359
35,234.83,35,199.61055,35,195.24769
38,243.3,38,208.08704,38,202.16601
41,249.62,41,215.03274,41,210.66988
43,256.81,43,222.21686,43,218.16563
46,264.23,46,229.63908,46,224.65295
49,252.73,49,218.13379,49,228.72933
51,261.8,51,226.27096,51,234.68506
55,269.59,55,231.87813,55,239.9806
58,272.64,58,237.11828,58,245.84401
60,280.32,60,245.73228,60,237.31818
61,289.9,61,255.30888,61,246.89478
63,300.81,63,264.65629,63,256.24219
65,312.08,65,275.92857,65,265.9563
67,309.74,67,291.04231,67,279.20024
68,321.04,68,302.03097,68,289.87726
70,340.36,70,326.96164,70,308.57527
73,362.8,73,350.95741,73,340.38961
76,387.11,76,400.39526,76,361.58068
79,426.71,79,448.92122,79,407.13461
80,469.02,80,497.73556,80,495.06529
